Nederlands;Gronings
Hella van der;Hella van der
praat daarover met;Wijst pruit doarover mit
Schmidt, amateur-sterrenkundige, ‘lichthinderloog’, ze waren op;Schmidt, ammeteur-steernkundege, ‘lichthinderloog’, ze wazzen op
Schiermonnikoog.;Schiermonnikoog.
Het eiland is 's nachts de donkerste plek in Nederland, schier Schier!;t Aailand is snachts donkerste stee in Nederland, schier Schier!
Bijzonder,;Biezunder,
Nederland hoort bij de;Nederland heurt bie de
Top 3 van landen waar het 's nachts het minst donker is, samen met;Top 3 van landen woar t snachts t minst duuster is, soamen mit
België en;België en
Porto;Porto
Rico....;Rico....
Blijkbaar kom je in de grote steden 's nachts bakken met licht tegen die men niet altijd tevreden over is.;Benoam in de grode steden kom je snachts bakken mit licht tegen woar t laank nait aaltied vanneuden is.
"Daar kunnen we nog een hoop op bezuinigen, maar ja, het Rutte-spul denkt niet aan ""Milieu""...";Doar kinnen we nog n bult op bezunegen, mor ja, t Ruttespul dut nait aan “Milieu”...
Vroeger, in Midwolle (en dan bedoel ik zo'n vijftig jaar geleden....) was het 's nachts nog donker genoeg.;Vrouger, in Midwolle (en dìn main ik zo’n viefteg joar leden....) was t snachts nog duuster zat.
Lantaarnpalen hadden niet van die dikke lampen, geen;Lanteernpoalen haren nait van dij dikke laampen, gain
TL-buizen, en;TL-buizen, en
LED, was dat toen al wel bedacht?;LED, was dat dou al wel opbedocht?
In de woningbouw was het blijkbaar 's winters een duistere boel.;In woningbaauw was t benoam swinters n duustere boudel.
Vroeger op beer....;Vroug op bère....
WC was er ja niet, het huisje stond achter in de tuin, zal wel een pispot onder het bed hebben gestaan...;WC was der ja nait, t hoeske ston achter in toene, zel wel n pispot onner bère stoan hebben...
Later aan de Nijssiesoordlaan was het vanzelf wel beter, wat de WC aanbelangt.;Loater aan Nijssiesoordloane was t vanzulf wel beter, wat dij WC aanbelangt.
Lantaarns gaven niet veel meer licht dan in de woningbouw.;Lanteerns gaven nait veul meer licht as in woningbaauw.
Als ik 's avonds nog eens wat doen moest, kranen vetbrengen of melk halen achter op het veen, was ik vaak bang, om niet te zeggen doodsbang (al gaf je dat vanzelf niet toe...);As ik soavends nog ains wat doun mos, kraande votbrengen of melk hoalen achter op t veen, was k voak baange, om nait te zeggen schietensbenaauwd (al gaf je dat vanzulf nait tou...)
Achter elke boom kon wel een spook staan en als je achterom keek, kwamen die griezels allemaal dichterbij...;Achter elke boom kon wel n spook stoan en as je achterom keken, kwammen dij griezels aal dichterbie...
Of toen kon je wel eens grommen van al dat donker, als je nog even met pa naar buiten ging en dan die sterren aan het licht flonkeren zag.;Of en tou kon je wel ains groalen van aal dat duuster, as je nog even mit pa noar boeten 26 gingen en dìn dij steerns aan locht flonkern zagen.
Pa had daar niet zo heel veel verstand van, maar hij kon ons toch wel de Grote Beer aanwijzen.;Pa haar doar nait zo hail veul verstaand van, mor hai kon ons doch wel de Grode Beer aanwiezen.
Mijn schoolkameraden;Mien schoulkammeroad
Doedens was er meer van als ik, hij was eigenlijk de eerste echte sterrenkijker die ik tegenkwam.;Doedens wos der meer van as ik, hai was aiglieks d’eerste echte steernkieker dij k tegen kwam.
Later vond ik in een oud schoolboekje (we mochten bij meester;Loater von k in n old schoulboukje (wie mochten bie meester
Zonderman een boekje uitzuigen als we meer dan 100 punten bij elkaar leerden, waarmee ik niet meer weet...) een mooie kaart van het hele sterrenlicht.;Zonderman n boukje oetzuiken as we meer as 100 punten bie mekoar leerd haren, woarmit wait k nait meer...) n mooie koart van de haile steernlocht.
Heel bijzonder, maar kreeg het niet in de kop, en toen was het toch nog donker genoeg.;Hail biezunder, mor kreeg t nait in de kop, en dou was t doch nog duuster zat.
"We gingen 's avonds ook nog wel eens ""blikspuit"" spelen, in het (half)donker.";Wie gingen soavens ook nog wel ains “blikspuit” speulen, in t (haalf)duuster.
Blikje onder lantaarnpaal...;Blikje onner lanteernpoale...
Dan had je niet veel last van het donker om je heen.;Dìn haar je nait veul last van t donker om je hìn.
Dat werd ook wel eens toen je in de pubertijd belandde.;Dat wer ook aans dou je in de bungeljoaren belanden deden.
Zelfs de fietsverlichting deed het niet altijd en toen er wat scharrelderij bij kwam, was het maar wat spannend daar op het;Zulfs de fietsverlichten dee t nait aaltied en dou der wat scharrelderij bie kwam, was t mor wat spannend doar op t
Achterloantje of bij Esborg in;Achterloantje of bie d’Esbörg in
Scheemde, zonder licht....;Scheemde, zunder licht....
Op pad naar huis toe, weerom van voetbaltrainen, ben ik nog wel eens in het donker aan de appeltjes aan het pikken geweest, op gevoel, bij de appelhof van boer;Op pad noar hoes tou, weerom van voetbaltrainen, bin k nog wel ais in duuster aan t appeltjes pikken west, op gevuil, bie d’appelhof van boer
Grooth, op de hoek van;Grooth, op hörn van
Zuidwesten en de;Zuudwenden en de
Hoofdweg.;Hoofdweg.
Later, op de kweekschool in;Loater, op kweekschoule in
Winschoot, deed je het niet zoveel meer, was het overdag wel eens donkerder dan 's nachts in het donker.;Winschoot, dee t je nait zoveul meer, was t overdag wel ains duusterder as aans snachts in t donker.
Woonde je meer in je eigen hoofd en was je daar wel eens weg kwijt.;Woonde je meer in joen aigen kop en was je doar wel ains weg kwiet.
Toen had je ook nog niet al die bakken licht van tegenwoordig, dat hoorde ook bij het dorpsleven.;Dou haar je ook nog nait aal dij bakken licht van tegenswoordeg, wazzen ook wend aan dörpsleven.
Eenmaal was ik met mijn schoolkamerad Jakob Stiekel bij zijn zus in de stad.;Ainmoal was k mit mien schoulkammeroad Jakob Stiekel bie zien zuster in Stad.
Man, dat was voor het eerst dat ik door kreeg dat er steden waren waar het 's nachts echt niet donker werd...;Man, dat was veur t eerst dat k deur kreeg dat der steeën wazzen woar t snachts sikkom nait duuster wer...
Nou, vijftig jaar later, mag ik graag nog even een ommetje maken, in het donker, op commando van mijn fysiotherapeuten.;Noú, viefteg joar loater, mag k geern nog even n ommetje moaken, in t duuster, op kommando van mien spatoaders.
Ik moet wel mijn kop erbij houden, en niet al naar beneden kijken, naar het pad.;k Mout wel kop derbie holden, en nait aal noar ondern kieken, noar t pad.
En ben ik blij dat er toch hier en daar lichtpunten zijn, het wordt er niet beter op.;En bin k bliede dat der doch hier en doar lichtpunten binnen, t zain wordt der nait beter op.
's Nachts moet ik er vaker een maal uit, ik doe geen licht aan, ik schuifel zo heen en weer naar de badkamer.;Snachts mout k der voaker n moal oet, k dou gain licht aan, k schoevel zo hinneweer noar badkoamer.
Dat is beter voor de hormoonhuishouding, zegt Wim Schmidt.;Das beter veur de hormoonhoesholden, zee Wim Schmidt.
Je leert nog elke dag bij...;Je leren nog elke dag bie...
27 ”Rockin;27 ”Rockin
Billy” 't;Billy” ’t
Was altijd vaste prik op vrijdagavond:;Was aaltied vaaste prik op vraidagoabend:
Douchen, verzamelen en dan naar;Doezen, verzoameln en din noar
de stad toe.;Stad tou.
Vaste gang van vaste kroegen en dan op het ene naar 'De;Vaaste gaang van vaaste krougen en din op ’t ênne noar ‘De
Koffer' voordat we naar huis gingen en onze eigen koffer indoken.;Koffer’ veur dat wie op huus aan gongen en ons aigen kovver ien doken.
'De Koffer' was een nachtcafé in de Oosterstraat waar altijd wel wat muziek speelde.;‘DeKoffer’ was n nachtcafé ien Oosterstroat woar aaltied wel wat meziek speulde.
Een gemoedelijke afsluiting van een avondje stappen.;n Gemoudelke ofsloeten van n oabendje deursakken.
Maar op een avond kwamen we ook eens weer;Mor op n oabend kwammen wie ook ains weer
Koffer binnen en dan viel ons op dat de muziek aan was als wij.;Koffer in en dou vuil ons votdoadelk op dat de meziek aans was as aans.
Vreemde dissonerende klanken kwamen ons tegemoet.;Vrumde dissonaairende klanken kwammen ons tegemuide.
De pianist hamerde op de toetsen alsof hij ze er nog sneller in wilde stampen (bij gebrek aan hamer en spijkers)....;Pianist haauwde op toetsen asof hai ze der nog vaaster ienstampen wol (bie gebrek aan hoamer en spiekers)....
De drummer had duidelijk een andere richting van de Ambachtsschool gedaan.;Drummer haar duudlek n aandere streuming van Aambachtschoule doan.
Hij streek met kwasten over zijn potdeksels...;Hai streek mit kwaasten over zien potdeksels...
En de bassist stond eigenlijk alleen maar te wachten tot hij er ook nog een paar dove tonen doorheen kon spelen..;En de bassist ston aignlieks allenneg moar te waachten tot hai der ook nog n poar dovve tonen deurhîn speulen kon..
en inderdaad, dat lokte hem ook nog zo nu en dan....;en woarachteg, dat lokte hom ook nog zo nou en din....
En de solo's waren voor de saxofonist die daar nog eens als een gek bovenuit en doorheen tjoedelde....;En de solo’s wazzen veur de saxofonist dij doar nog ains as n gek bovenoet en deurhîn tjoedelde....
De jazz-recensent van het Nieuwsblad stond er quasi interessant en ingewikkeld bij te dansen.;De jazz-recensent van t Nijsblad ston der kwoazie ienteressant en iengewikkeld bie te daansen.
Dan begreep hij het wel vanzelf...;Din hai begreep t wel vanzulms...
Broer stond er met volle verbazing naar te kijken en te luisteren.;Bruier ston der mit volle verboazing noar te kieken en te luustern.
Ik hing over de vleugel, aan de zijkant van het podium, het hele spektakel wat verveeld te bekijken, toen broer opeens dwars over de mensen en de muziek heen riep: “Hé;Ik hong over de vleugel, aan zied van t podium, t hail spul wat verveeld te bekieken, dou bruier opains dwaars over de mînsen en de meziek hîn reerde: “Hé
Gerrit, dit is niet voor ons soort jongens hè??”;Gerrit, di’s nait veur ons soort jongs hè??”
Van schrik viel het even stil, waarna de muzikanten de voor ons onbegrijpelijke draad weer oppakten.;Van schrik vuil t eem stil, woarnoa de muzikanten de veur ons onbegriepelke droad weer oppakten.
Toen dit experimentele getjoedel eindelijk ophield, riep broer: “Mooi jongens, en nog een ‘Rockin;Dou dit experimentele getjoedel eindelk ophuil, ruip bruier: “Mooi jongs, en nôh eem ‘Rockin
Billy’ van;Billy’ van
Ria;Ria
Valk.”;Valk.”
De muzikanten keken hem meewarig aan, vol medelijden met dat provincionaaltje dat er helemaal niets van begreep....;Muzikanten keken hom meewoareg aan, vol meedlied mit dat provinsioaltje dij der hailndal niks van begreep....
R 2 8 januari 2011 verhalen verhalen verhalen verhalen gedichten gedichten gedichten gedichten versjes versjes versjes versjes nieuws nieuws nieuws nieuws alleen in het;R 2 8 jannewoarie 2011 verhoalen verhoalen verhoalen verhoalen gedichten gedichten gedichten gedichten verskes verskes verskes verskes nijsnijsnijsnijs allènt in t
KREUZE nummer 28 6e jaargang redactie:;KREUZE nummer 28 6e joargang redaksie:
KREUZE 29 komt uit begin maart;KREUZE 29 komt oet begun meert
Bijdragen kun je opsturen tot 24 februari 2011;Biedroagen kin j’opsturen tot 24 feberwoarie 2011
INHOUD: 2;INHOLD: 2
Westerhoff,;Westerhoff,
Pelgrim,;Pelgrim,
Kerstdagen,;Kerstdoagen,
Matrozen;Metroos
Eppie,;Eppie,
Staal,;Staal,
Wenen;Wenen
Trix;Trix
Jaargetijden;Joargetieden
De wereld op zijn kop;De wereld op zien kop
Veldhuis,;Veldhuis,
Laatste ronde;Leste ronde
Alleen;Allain
Bertus;Bertus
Spelde;Spelde
Herfst in;Haarfst in
Bosbloem;Woudbloem
Warmte;Waarmte
Gerechten;Geichten
Westerhoff het;Westerhoff t
Is gedaan;Is doan
Wilt u het;Wilzing t
Blauwborgje vertelt;Blauwbörgje vertelt
Petzinger,;Petzinger,
Ster;Steern
Berrus;Berrus
Dorpsfilm;Dörpsfilm
Geen vrij;Gain vree
Jonge oom;Jong ootje
Mijn thuis;Mien thuus
Kerst-en;Kerst-en
Nieuwjaarskaarten;Nijjoarskoarten
Ben ik;Bé n
Vreemde eter, gedichten;Vremde vreter, gedichten
Winter ?;Winter ?
Nieuwjaarszegen;Nijjoarszegen
Stemmen;Stemmen
Molen 3 4, 5 6, 7 8 9 10 10 11, 12 12 12, 13 13 14 14, 15 15 16 17, 18, 19 19 20 20 21 22 22 t/m 26 26 26, 27 28 29 30 31, 32 32;Molen 3 4, 5 6, 7 8 9 10 10 11, 12 12 12, 13 13 14 14, 15 15 16 17, 18, 19 19 20 20 21 22 22 t/m 26 26 26, 27 28 29 30 31, 32 32
3 Free Westerhoff's limerick voor het nieuwe jaar.......;3 Free Westerhoff’ Limerick veur t nije joar.......
Tweeduizendtien is voor altijd voorgoed voorbij.;Twijdoezendtien is veur aaltied veurgoud veurbie.
Tweeduizendelf staat weer te wachten op jou en mij.;Twijdoezendelf staait weer te wachten op joe en mie.
Wat zal die ons weer voor nieuws en verrassingen geven?;Wat zel dij oons weer veur nijs en verrazzens geven?
Ik hoop voor iedereen een gelukkig en gezond leven !;Ik hoop veur elk en ain n gelokkig en gezond leven !
Met af en toe wat gelegenheden als dievenstreek.;Met oaf en tou wat malegheden as dieverdoatsie.
Veel zegen;Veul zegen
Voor het nieuwe jaar veel zegen;Veur t nije joar veul zegen
Dat kom je overal tegen;Dat kom je overaal tegen
Maar ik zeg jou voor het hele leven;Mor ik zeg joe veur t haile leven
Dat het leven jou alles mag geven;Dat t leven joe alles mag geven
Kerstdagen;Kerstdoagen
Met een snotneus kom ik uit de ijzige kou weer in huis, met een dikke arm vol takkenhout dat bestemd is voor de houtkachel.;Mit n drup aan neuze kom ik oet de iezege kolle weer in hoes, mit n dikke aarm vol bongelholt wat bestemd is veur de holtkaggel.
Het vriest 11 graden en het is een mooie heldere dag, de zon schijnt en kleine wolkjes adem komen uit je mond als je buiten bent.;t Vrust 11 groaden en t is n mooie heldere dag,de zunne schient en klaaine wolkjes oazem kommen oet joen mond as je boeten binnen.
Het is eerste kerstdag en kinderen komen vandaag bij ons, net als elk jaar, om kerst te vieren.;t Is eerste kerstdag en kinder kommen vandoage bie ons, net as elk joar, om kerst te vieren.
Ik had de week daarvoor al een mooie boom bij de markt gehaald en de vrouw had hem mooi opgetuigd.;Ik haar de week derveur al n schiere boom bie de maarkt hoald en de vraauw haar hom mooi optuugd.
Aan de voordeur hangt een krans en door het huis heen hangen wat meer foto's die met de kerstdagen te maken hebben.;Aan de veurdeure hangt n kranze en deur t hoes hìn hangen wat meer fetuutjes dai mit de kerstdoagen te moaken hebben.
“Het is koud!” zeg ik en leg intussen het hout in de voor de deur bestemde bak.;“t Is kold!” zeg ik en leg intied t holt in de doarveur bestemde bak.
Met een oude aansteker en wat fijne houtjes steek ik de kachel aan, zodat hij daarmee lekker op temperatuur is als de kinderen er binnen zijn.;Mit n olle kraande en wat fiene holtjes steek ik de kaggel aan, zodat hai dammee lekker op temperetuur is as de kinder der binnen.
Als het goed is, komt oma ook weer en dan hebben we een hele groep bij elkaar.;As t goud is, komt opoe ook weer en den hebben we n haile ploug bienander.
Jan komt met zijn vriendin;Jan komt mit zien vriendin
Femke en;Femke en
Geert komt alleen omdat zijn verkeer net uitging...;Geert komt allint omreden dat zien verkeern net oetgoan is...
Met oma, mijn vrouw en ikzelf binnen zijn we net mooi met zes man.;Mit opoe, mien vraauw en ikzulf binnen we net mooi mit zes man .
Even later wordt het al lekker warm in huis en zit ik in de stoel voor de kachel en denk weerom aan de tijd dat ik zelf kind was en hoe de winters toen waren.;Eefkes loater wordt t al lekker waarm in hoes en zit ik in de stoule veur de kaggel en denk weerom aan de tied dat ik zulf kind was en hou de winters dou wazzen.
Het is 1967 zo rond 20 december en het vriest dat het kraakt!;t Is 1967 zo rond 20 december en t vrust dat t kroakt!
Er is al nuver wat sneeuw gevallen en we waren de hele dag buiten te vinden.;Der is al nuver wat snij valen en wie binnen de haile dag boeten te vinden.
Sommigen maakten de hele tocht met school.;4 Sums wuien der haile tochten moakt mit schoule.
Dan waren diepen en vijvers bevroren en kon je zo naar het meer schaatsen.;Den wazzen daipen en wiekjes bevroren en kon je zo noar t meer scheuveln.
Maar ook wilden ze schaatswedstrijden houden of priksleeën waarbij je op een slee zat en met twee stokjes met spijkers eraan jezelf vooruit moest zien te krijgen.;Mor ook wuien der scheuvelwedstrieden holden of priksleeën woarbie je op n slee zaten en mit twai stokjes mit spiekers deraan joezulf veuroet mozzen zain te kriegen.
Ik kijk op als deurbel gaat en ga naar de voordeur.;Ik kiek op as deurbelle gaait en goa noar de veurdeure.
Even later kom ik met een dikke armvol cadeautjes weer in huis en leg ze onder de boom.;Even loater kom ik mit n dikke aarmvol kedootjes weer in hoes en leg ze onder de boom.
Ga maar met je moeder in kamer”, zeg ik tegen de vrouw, dan ga ik wat met het eten doen.”;Goa mor mit dien moeke in koamer”, zee ik tegen de vraauw, den gona ik wat mit t eten aan loop.”
Ach, eten koken is mijn hobby en de kerstdagen zijn dan altijd weer een mooie gelegenheid om eens extra lekker te koken.;Ach eten koken is mien hobby en de kerstdoagen binnen den altied weer n mooie gelegenhaid om ais even extroa lekker te koken.
De dikke rolade had ik een dag eerder al gebraden en de kerstpudding met stijfgeklopt eiwit en een drupje citroenjenever stond ook al klaar.;De dikke rolloade haar ik n dag eerder al broaden en de kerstpudding mit gesteven aaiwit en n drupke citrounjenever ston ook al kloar .
Ik had de tomatensoep al op het vuur staan.;Ik haar de tudesoep al op stel stoan.
Nog even aardappels erbij en met de rode kool, groene bonen en de warme stoofpeertjes was de maaltijd compleet.;Nog even eerappels derop en mit de rooie kool, gruine bonen en de waarme steufpeertjes was de moaltied compleet.
Intussen waren de kinderen ook gearriveerd en was het weer als gewoonlijk een gezellige drukte in huis.;Intied wazzen kinder ook arriveerd en was t weer as vanolds n gezellege boudel in hoes.
Met een lekker glaasje drinken en een stokje banketstaaf werden de cadeautjes uitgepakt en de zelfgemaakte gedichtjes voorgelezen.;Mit n lekker glaske drinken en n stokje banketstoaf wuien de kedootjes oetpakt en de zulfgemoakte gedichtjes veurlezen.
"""Kijk eens buiten"", zegt";“Kiek ais boeten”, zegt
Geert ineens en als we dan allemaal opkijken, zien we dat het intussen helderop sneeuwen is gaan, dat maakt de kerstdagen ja compleet!;Geert inains en as wie den allemoal opkieken, zain wie dat het intied helderop snijen goan is,dat moakt de kerstdoagen ja compleet!
Vorst, sneeuw en lekker met je familie voor de kachel, wat een rijkdom hoor, zei mijn schoonmoeder en ik weet zeker wat ze bedoelt.;..Vorst, snij en lekker mit joen femilie veur de kaggel,wat n riekdom heur ik mien schoonmoe zeggen en ik wait secuur wat ze beduilt.
"Tegenwoordig met al die echtscheidingen, kinderen tussen wal en schip, allen alleen, is het niet vanzelfsprekend dat de kerstdagen als ""mooi"" herinnerd worden.";Tegenswoordig mit aal dai echtschaaidens, kinder tussen waal en schip, ale ellènne, is t nait vanzulfsprekend dat de kerstdoagen as “mooi” herinnerd worden.
Voor veel mensen zijn het misschien wel de ellendigste dagen van het jaar.;Veur veul minsen binnen t misschain wel de ellendegste doagen van t joar.
Ik sta op en schud de gedachte van me af.;Ik goa stoan en schud gedachte van mie oaf.
"Terwijl ik een blokje hout in de kachel gooi, denk ik: ""Je hebt groot gelijk, wat een rijkdom!""";Terwiel ik n blokje holt in de kaggel gooi, denk ik: “Ie hebben groot geliek, wat n riekdom!”
En als we dan lekker aan tafel zitten te eten en napraten over de cadeautjes en de gewone dingen in het leven, dan vergeet je al gauw alle ellende die er in de wereld is en;En as wie den lekker aan toavel zitten te eten en noaproaten over de kedootjes en de gewone dingen in t leven, den vergeten je al gaauw alle ellende dai der in de wereld is en
Verslapen. Het is elf uur, ik ga op bed, eerst nog een blaadje lezen...;5 Versloapen t Is elf uur, ik goa op berre, eerst nog n bloadje lezen...
Daar weer uit, moet naar het huisje!;Der weer oet, mout noar t hoeske!
Aans doe ik het..., dat zal wat wezen...;Aans dou ik t..., dat zol wat wezen...
Nog even bij de koelkast langs, dat stokje pizza van vanmiddag...;Nog even bie koulkaast laangs, dat stokje pizza van vanmiddag...
Het is wel koud, nou ja, het is niet aans, maar goed dat ik het nog zag...;t Is wel kold, nou ja, t is nait aans, mor goud dat ik t nog zag...
Hup, ook nog een glas melk met honing.;Vot, ook nog n glas melk mit hunneg.
Even in de magnetron, wordt lekker warm.;Even in magnetron, wordt lekker waarm.
Ik wil geen kruimels in mijn bed, in de kamer, televisie erbij aan.;Ik wil ja gain krummels in mien bèr, in de koamer ,televizie der bie aan.
Verrek, deze film heb ik nog niet gezien!;Verrek, dizze film heb k nog nait zain!
Als ik weer op de klok kijk, is het drie uur.;As k weer op klokke kiek, is t drai uur.
Kolle vouten en de film is klaar, van die pizza krijg ik het zuur...;Kolle vouten en film is doan, van dij pizza krieg ik t zuur...
Gauw naar binnen, vrouw ligt op mijn kant.;Gaauw derin, vraauw ligt op mien kaant.
Ik val zo in slaap, wat is dit bed lekker!;k Vaal vot in sloap, wat is dij bère lekker!
Om acht uur klaarwakker, hup in het ene, verslapen, wat is er met die wekker???;Om acht uur glìnwakker, vot in t ènne, versloapen, wat is der mit dij wekker???
Ik spring eruit en kleed me aan.;Ik spring deroet en klai mie aan.
Wat maakt die?;Wat mekaaiert die?
Wat doe je maf...;Wat dust ja maf...
Ik heb me verslapen en het is al laat!;k Heb mie versloapen en t is al loat!
Man, ben je vrij .......het is zondag!;Man, bist ja vrij .......t is zundag!
Cor Uildriks leg je deze kerstdag als een mooie herinnering op de plank in je geheugen.;Cor Uildriks leg je dizze kerstdag as n mooie herinnern op de plaank in joen geheugen.
Buiten sneeuwt het inmiddels helderop.;Boeten snijt t in tied helderop.
Ik ben alweer aan het bedenken hoe ik die jongens van me daarmee naar buiten krijg om ze eens goed met sneeuw in te peperen...;Ik ben alweer aan t bedenken hou ik dai jongen van mie dammee noar boeten krieg om ze ais goud mit snij in te pepern...t
Zal er wel op uitdraaien dat ik zelf ingepeperd word en met een door de sneeuw bevroren rode kop in huis moet vluchten...;Zel der wel op oetdraaien dat ik zulf inpeperd wor en mit n deur snij invreven rooie kop in hoes vluchten mout...
Hou je het ook wenden of keren, je wordt toch een dagje ouder, maar wraak zal ik me en zij zullen hun portie ook hebben.;Hou je t ook wenden of keren, je worden toch n dagje older, mor weren zel k mie en zai zellen heur porsie ook hebben.
"""Kijk, Klaas Jan"", zegt Geert, ""hij zit weer ergens te braden, ik kan het aan zijn kop zien!";“Kiek, Kloas Jan”, zegt Geert, “hai zit weer aargens op te brouden, ik kint aan zien kop zain!
"En het heeft vast met de sneeuw buiten te maken.""";En t het vast mit de snij boeten te moaken.”
Ik houd me doodstil en kijk zo onschuldig mogelijk in het rond en wacht grinnikend mijn kans af.;Ik hol mie wiezelk stil en kiek zo onneuzel meugelk in t ronde en wacht gnivvelnd mien kans oaf.
Cor Uildriks Swieniegel Daar komt ze aan, heel voorzichtig.;Cor Uildriks Swieniegel Doar komt zai aan, hail veurzichteg.
Blijft even staan en kijkt wat schichtig.;Blift eemkes stoan en kikt wat spichteg.
Snuift met haar lange neus in de lucht en maakt haar keuze.;Snuvvelt mit heur laange neus in de lucht en moakt heur keus.
Zal ze links of rechtsom gaan?;Zel zai links of rechtsom goan?
Nee, ze blijft nog even staan.;Nee, zai blift nog eemkes stoan.
Het is ook lastig met al die geuren!;t Is ook stoer mit aal dai geuren!
Omslachtig een paar stapjes naar voren.;Omslachteg n poar stapkes noar veuren.
Dan ineens staat ze hoog op poten om over het tuinpad heen te lopen.;Dìn inains staait ze hoog op poten om over t toenpad hìn te lopen.
Dan met een paar grote sprongen maakt ze praat met achter haar vijf jongen.;Dìn mit n poar grode sprongen maank praaien mit achter heur vief jongen.
Eerste jongen valt op zijn snuit, de tweede glijdt dín over hem heen!;Veurste jonkie vaalt op snoet, de twaide glidt dìn over hom oet!
Drie en vier vliegen er bovenop en nummer vijf gaat over de kop!;Drai en vaaier vlaigen der bovenop en nummer vieve gaait over de kop!
Wat komt moeder egel terug, helpt haar kroost, om dìn vlug weer te verdwijnen zonder hinder:;Vot komt moeke iegel terug, helpt heur kroost, om dìn vlug weer te verdwienen zunder hinder:
Moeder egel met vijf kinderen!;Moeke iegel mit vief kinder!
Eppie {het was rond de kerstdagen};Eppie {t was om en bie karstdoagen}
Op school was;Op schoul was
Eppie geen vrolijke jongen, hij was er met zijn gedachten vaak niet bij.;Eppie nait n jouker jong, hai was der mit zien denk voak nait bie.
Altijd op het schoolplein was hij wat vreemd, niet mee met de tijd.;Aaid op schoulplaain was e wat zunderliek, nait mit tied mit.
In de zandbak bij school wilde hij alleen spelen, zijn haven, zijn boot voer daar.;Zaandbak bie schoul doar wol hai allinneg in speulen, zien hoaven, zien boot voarde doar.
Zijn omkijken naar de wereld begon in de derde klas, toen kwam de wereldbol op tafel.;Zien omkieken noar wereld zeeèn begunde in daarde klas, din kwam wereldbol op toavel.
Hij was er niet bij te slaan.;Hai was der nait bie vot te sloagen.
Verhalen van mensen van vroeger, die als scheepsjongen of kapitein aan boord waren, daar had;Petretten van vrouger lu, dij as scheepsjong of kaptain aanbòid wazzen, doar haar
Eppie groot ontzag voor.;Eppie groot ontzag veur.
Italië,;Itoalie,
Rusland,;Ruslaand,
Duitsland,;Duutslaand,
Zweden, wist wat van huis en dak, maar dat begreep hij vanzelf nog niet.;Sweden, wiet vot van hoes en dak, mor dat begreep hai vanzulm nog nait.
Op zijn namiddag kreeg;Op zien noamdag kreeg
Eppie van zijn vader en moeder een wereldbol, die in het rond draaide, waar de hele wereld op stond.;Eppie van zien pa en moeke n wereldbol, dij in t rond siddelde, woar hail wereld op ston.
Helemaal verduisterd was hij, zoveel plaatsen, met zoveel water.;Haildaal verhilderd was e, zoveul ploatsen, mit zoveul wodder.
Meester onderbrak hem, hij noemde;Meester stokte oet, hai neumde
Evenaar,;Evenoar,
Noordpool,;Noordpool,
Zuidpool, met heel veel ijs, ijsberen moesten hem ook niet ontkomen.;Zuudpool, mit hail veul ies, iesberen mozzen hom ook nait ontkommen.
Het was zo ver weg voor Eppie, dat hij niets meer wilde hebben dan aardrijkskunde.;t Was zo wied hèn mit Eppie, dat hai aans niks hemmen wol as oardriekskunde.
Maar dat kan niet altijd.;Mor dat kin nait aaid.
Meester vertelde hem dat hij dan naar de zeevaartschool moest in;Meester stokte hom oet dat hai din noar zeevoartschoul mos in
Delfzijl, veel leren moest hij daar zodat hij zich op de vaart kon gaan richten.;Delfziel, veul leren doar mos hai zok op aanleggen goan.
Eppie had maar één wens, matroos worden, het leek hem wonderlijk.;Eppie haar mor ain wens, metroos worren, t leek hom meroakels tou.
"Als mensen hem vroegen: ""Wat wil jij later worden?""";As lu hom vrougen :’’Wat wilst doe loader worren?”
"Dan had hij het antwoord klaar: ""Zeeman, het liefst matroos.""";Din haar hai antwoord kloar : “Zeeman, t laifst metroos.”
Jaren gingen voorbij, de laatste schooldag stond eraan te komen, afscheid van zijn kameraadjes, en van zijn meester.;Joaren gongen veurbie, leste schouldag ston deraan te kommen, oafschaaid van zien kammeroadjes, en van zien meester.
Zijn vrienden vonden het stoer, alleen hij had het in zijn hoofd, niets anders.;Zien ollu haren t stoer dermit, allain zee haar hai in kop, aans niks.
Had Eppie eigenlijk wel in het achterhoofd, dat zee geen land of straat was?;Haar Eppie aiglieks wel in goaten, dat zee gain loan of stroat was?
Zag hij het gevaar van stormen, hoge golven, schipbreuk en wat niet al?;Zag hai gevoar van störms, hoge golven, schipbreuk en wat nait aal.?
Hij wilde het ja niet zien.;Hai wol t ja nait zain.
Eppie ging op een mooie dag naar Delfzijl, een havenplaats vlak bij zijn dorp.;Eppie gong op n schiere dag noar Delfziel, n 6 hoavenploats stoef bie zien dörp.
Daar lagen veel boten aan de kade, laden en lossen met kranen.;Doar lagen veul boten aan koade, loaden en lözzen mit kroanen.
Sterke mensen die daar aan het werk waren.;Staarke lu dij doar aan t waark wazzen.
Een wereld ging voor hem open om dat allemaal te zien.;n Wereld gong veur hom open om dat aal te zain.
Geloofde Eppie in zichzelf, of was dat goud?;Eppie gleufde in zok zulf, of dat goud was.?
Vader en moeder twijfelden daaraan.;Pa en moeke twievelden doaraan.
