nld_Latn;gos_Latn
Je ziet er goed uit, zei ze.;‘Zugst wel’, zee ze.
Daar groeit niets goeds van.;‘Doar gruit niks gouds van.
Waar bleef je toch niet?;Woar bleefst wel nait?
Ik heb mijn boek uit en nu loop ik nog eens naar Hem.;Ik heb mien bouk oet en nou loop ik nog eefkes noar Hema.
Ga je mee? Maar ik had de lamp uit.;Gaaist mit?’ Mor ik haar de laamp oet.
Huttinga 11n;Huttinga 11 n
Plaatje;Ploatje
Donkere wolken hangen;Duustre wolken hangen
Zweer van het water, boven het landschap;Zwoar van wotter, boven t landschop
De lucht is draagzaam;Lucht is draaigend
De zon krapt de zee, de wind staat op;Zun kroept bezied, wind stekt op
Wat zeekoeien vliegen;Wat zeekoapen vlaigen
Zulverkleurig, een eindje verderop;Zulverkleureg, n ènd wiederop
Er komt een stuifmeel;Der komt n stoever n
Dunderslag daaropop;Dunderslag der bovenop
Geel koolzaad;Felgeel koolzoad
Drupend van de regen, op het platteland;Droepend van regen, op t pladdelaand
De wind jaagt het rat in de wind;Wind jagt t raait in toeze
Lang sluiten;Laangs slootkaant
Ik kijk om me heen;Ik kiek om mie tou
Kleuren veranderen, één en allen grijs;Kleuren veraandern, ain en aal gries k
Loop zonder jas, zelfs zonder pluim;Loop zunder jas, zulfs zunder plu k
Het lijkt wel niet wijs;Liek wel nait wies
Wat kan me het schelen;Wat kin mie t verschelen t
Water loopt niet verder dan het vel;Wotter lopt nait wieder as t vèl
Geheel doorwaakt, daarvoor rust ik het;Gehail deurwaikt, ervoar k rust t
Vind ik het leuk;Bevaalt mie wel
Opa breekt de zon door;Opais brekt zun deur
Een regenboog verschijnt, pronkend in de regen;Regenboog verschient, pronkend in regen
"Groningsland is een ""Plotje""";"Grunnegerlaand is n ""Ploatje"""
Wat een zegen!;Wat n zegen !
12 Toen de koekjes op de schorreltjes lagen, kreeg er nog iemand interesse, namelijk onze hond.;12 Dou de kouken op de schurreltjes lagen, kreeg der nog ain belangstellen, noamelk ons hond.
Tom had het bos gehogen en het was een rasterende asbak.;Tommie haide t baist en t was n rasechte asbak.
Niet te groot, zwart met bruin en wit, maar een zeer aardig baardje.;Nait al te groot, swaart mit broen en wit, ach n alleroardegst baistje.
Elk en iedereen begon aan zijn koekje en koffie of sokkelmelk en er werd vrolijk wat afgemaakt over van alles en nog wat.;Elk en aine begon aan zien kouke en kovvie of sokkeloademelk en der wer vrolek wat keuveld over van alles en nog wat.
Na een poosje had mijn vrouw ons tweede bakje koffie ingeschonken en toen ze er weer bij zat, zei ze tegen mij: Verrek, heb je bak toch nog steeds niet op.;Noa n tiedje haar mien vraauw ons twaide bakje kovvie inschonken en dou ze der weer bie zat, zee ze tegen mie: “Verrek, hest dien kouke ja nog aal nait op.
Ben je niet goed afwezig? Joa, zei ik en keek rond.;Bist nait goud ofzo?” “Joa”, zee ik en keek kring ais rond.
Joe heeft nu al iedereen die koek op, maar ik heb hem nog even laten liggen.;“Joe hebben allemoal dai kouke nou al op, mor ik heb hom nog even liggen loaten.
Je moet ervan genieten, van zo'n koekje, dan moet je niet zo alomgegeten naar binnen schrikken.;Je mouten dervan genieten, van zo’n kouke,dai mout je nait zo albegereg noar binnen schrokken.
"Mijn vader zei altijd: ""Als je iets hebt, dan heb je iets.""";Mien voar zee altied ‘spoarst doe wat, den hest doe wat’ ”.
Riddersloeg keek ik;Riddersloagen keek ik
Tommie (want hij was) daarna, maar ik kon er niet meer tegen griepen om mijn koekje nog te redden.;Tommie (want dai wast) noa, mor ik kon der nait meer tegen griepen om mien kouke nog te redden.
Iedereen en iedereen was vanzelf slap van het lachen, vooral mijn schoonmoeder....;Elk en aine was vanzulf slap van t lachen, veuraal mien schoonmoeke....
Tranen belegden haar over de wangen en ze moest het lichaam erbij vasthouden.;Troanen biggelden heur over de wangen en ze mos t lief der bie vastholden.
In de tussentijd begon ik ook zelf te lachen.;Op den duur begon ik zulf ook te laggen.
Ik zal er wel betoverd bij zitten hebben en als ze allemaal zo schoten, dan moet jij het ook.;Ik zel der wel beteuterd bie zeten hebben en as ze allemoal zo schottern, den mout je zulf ook wel.
Doe ieder en iedereen wat nodig was en;Dou elk en aine wat bedoard was en
Tommie kroop weer in zijn mandje om reden dat er toch niets lekkers meer was, kwam het meisje;Tommie weer in zien mandje kroop om reden dat der toch niks lekkers meer was, kwam lutje
Geert naar me toe en zei: Kijk;Geert noar mie tou en zee: “Kiek
Papa, je mag mijn amandel wel hebben.;Pabbe, ie maggen mien amandeltje wel hebben.
Dai lag nog op mijn schorreltje en ik lust hem toch niet.;Dai lag nog op mien schurreltje en ik lus hom toch nait.”
Ons hondje;Ons hondje
Tommie is er lang niet meer, maar ieder aanbod als we nu een gevuld koek bij de koffie krijgen, dan ben ik de eerste die hem op heeft.;Tommie is der allaank nait meer, mor ieder bod as wie nou n gevulde kouk bie de kovvie kriegen, den bin ik d’eerste dai hom op het.
©;©
Tom heeft het;Tommie t
Het was een zaterdagavond in oktober en het was al donker buiten, toen de deurbell ging.;Was n zoaterdagoavend in oktober en t was al duuster boeten, dou deurbelle ging.
Toen ik bij de deur kwam, stond mijn schoonmoeder er voor zo nat als een verzonnen kat.;Dou ik bie deure kwam, ston mien schoonmoeke der veur zo nat as een verzopen kat.
Het water vloog van haar plastic hoofddoekje of zo in de schoenen.;t Wotter luip van heur plastic kopdoukje of zo in de schounen.
God, zei ik, het kon wel regenen.;“God”, zee ik, “t kon wel regen”.
Laat je me hier buiten staan of laat je me er in? Zei ze en keek me altijd aan.;”Loatst mie hier boeten stoan of letst mie der in?“ zee ze en keek mie der venieneg bie aan.
Vot deed ik een stap aan de kant en liet haar erin.;Vot dee ik n stap aan kaande en luit heur derin.
Wat een hondweer! zei ze, toen ze met een dik rood hoofd de kamer binnenkwam en op mijn stoe voor de kaggel ging zitten.;“Wat n hondeweer!” zee ze, dou ze met n dikke rooie kop in de koamer kwam en vot op mien stee veur de kaggel zitten ging.
Ook mens, zei de vrouw, is het dan zo min weer?;“Och mens”, zee de vraauw, “is t den zoks min weer?
Ja, ging ze verder, we hadden om die tijd de dienst al gesloten en de open gehoor eraan toegevoegd.;Joa,” ging ze wieder, “wie hebben om dis tied gedienen al dicht en de open heerd der bie aan.
We wilden net aan de koffie beginnen.;Wie wollen net aan de kovvie begunnen.
Wil je ons;Wilst doe ons
De herten en;Geert en
Klootzak;Kloas
Jan even roepen, dan maak ik voor haar sokkeloademelk. Toen de vrouw naar de keuken ging, ging ik onder aan de trap staan en riep de jongens toe of ze sokkeloademelk wouden.;Jan even roupen, den moak ik veur heur sokkeloademelk”.Dou de vraauw noar keuken ging, ging ik onder aan trabben stoan en ruip jongens tou of ze sokkeloademelk wollen.
Oh ja, toen ik ernaar stapte, en oma is er ook!;“Oh joa”, bulkte ik der achteraan, “en opoe is der ook!”
Een beetje later waren de kinderen beneden en zaten met ons in de kamer.;Even loater wazzen kinder beneden en zaten gezelleg bie ons in koamer.
"De grootmoeder (toen in de tijd alweer opgedroogd was) greep in haar tas en zei: ""Ik heb gevuld kouken meegenomen, bij de warme bakker weg.""";Opoe (dai in tied alweer opdreugd was) greep in heur tazze en zee: “Ik heb gevulde kouken mitnomen, bie de waarme bakker vot.”
Daar had ze me!;Doar haar ze mie!
Man, daar vind ik het toch zo lekker!;Man, dai vin ik ja zo lekker hè!
Ze zijn groot met een lekkere bruine bovenkant en een dikke laag spijs erin en een amandelje daarboven.;Ze binnen groot mit n lekkere broene bovenkaant en n dikke loag spies derin en n amandeltje derbovenop.
Votdoel ging ik staan om schorreltjes te pakken, waar we de koekjes konden leggen.;Votdoalek gong ik stoan om schurreltjes te pakken, woar wie de kouken opleggen konden.
Nu wist wie overhandigd was, hè? Ze zei schoonmoeder, toen er maar een gevuld koekje op tafel kwam....;“Nou wist wel overhìnde, hè...” zee schoonmoeke, “as der mor n gevulde kouke op toavel komt....”
Daar had de olske wel gelijk in, je mag mij daarnacht voor wakker maken.;Doar haar t olske wel geliek in, je maggen mie der snachts veur wakker moaken.
De vissen Ze bossen met elkaar door het hoge gras achterover in het land.;Vizzen Ze bozzelden mitnander deur t hoge gras achteroet t laand ien.
Woensdagmiddag, Snoot met een schone overval, Bert met nieuwe laarzen en Haas op klompen.;Woensdagmirreg, ‘Snöt’ mit n schone overaal, Bert mit nije stevels en ‘Hoas’ op klompen.
Hij kon zijn laarzen niet aantasten.;Dij kon zien stevels nait vienden.
Een van de broers zou ze wel aan hebben.;Ain van bruiers zol ze wel aan hemmen.
Piet dacht dat onze Leemeneer het goed met de jongens voor haar had.;Piet docht “dat onze Laimeneer t goud mit jonges veur haar”.
Volgens hem was het vroeger in het paradijs ook in Haïti zo mooi droog zonneschijn.;Volgens hom was t vrouger ien t paradies ook haitied zoks mooi dreug zunschienweer.
Daarnaast waren ze nog eens een keer goed beloond met een echte snoekhang met een blikje blinkertje ervan.;Doarnoast waren ze nog ains n moal goud beloond mit n echte snouk-hangel mit n blikken blinkertje deraan.
Al het goede zal u bereiken, zei Piet.;“Al het goede zal u toekomen”, zee Piet.
Eerst vonden we op drekstoup.;“Eerliek vonnen op drekstoup”.
En nu zouden ze wel even een dik snoek vangen.;En nou zollen ze wel even n dikke snouk vangen.
Alleen zij konden niet bij diep komen.;Allinneg ze moggen nait bie daip kommen.
Geen van de jongens omdat ze niet konden zwemmen.;Gainain van jonges omreden ze nait swimmen konnen.
Piet had gezegd dat ze dat dan ook niet moesten doen.;Piet haar zegd dat ze dat din ook nait doun mouten.
Onze Leemeneer ziet immers alles en u kunt er op wachten tot iemand in de val valt.;“Onze Laimeneer zugt ja ales en joe kinnen der op wachten datter ain ien vaalt”.
Of jullie zouden zien dat net één van de jongens zijn Moeder op de boschop moet en lang fietst.;Of joe zollen zain dat net ain van jonges zien Moeke op bosschop mout en laangs fietst.
Wij gaan naar het meer, zei Piet, dat hebben ze niet verboden.;“Wie goan noar t moar”, zee Piet, “dat hemmen ze nait verboden.
En daar zegt niemand ons.;En doar zigt gainain ons”.
En nu moet het wezen.;En nou mós t weden.
Vervolgens bij boer Jansen door Groenland naar het meer.;Vèr achteroet bie boer Jansen deur t gruinlaand noar t moar.
Stoefbij het huisje van Oabel Sik die daar woont.;Stoefbiet lutje hoeske van Oabel ‘Sik’ dij doar woont.
een vaarwel krutte maan roeg boskerij en hoge bomen.;n Vaarveloos kröt maank roege boskederij en hoge bomen.
Abel woont daar samen met Greetje zijn oude zeegroot.;Oabel woont doar soamen mit ‘Greetje’ zien olle segebok.
Elk in deze kontraainen kon ze.;Elk ien dizze kontraainen kon ze.
Eerst had daar ook nog een grote grote vrouw gewoond.;Eerst haar doar ook nog n grode flinke vraauw woond.
Die had de naam Deertje.;Dij haitte Geertje.
Maar toen;Mor toun
Oabel op een dag met zijn zeeftabak thuisgekomen, haar;Oabel op n dag mit zien segebok thoeskwam, haar
De herten roepen hai daarvandaan anders ga ik daarvandaan!;Geertje roupen “hai deroet aans goa ik deroet!”
Abel dacht dat het wel zou meemaken.;Oabel docht dat t wel mitvalen zol.
Die bok in zijn kooi en spikte een bord bovenop.;Dee bok ien zien hok en spiekerde n bord derboven.
Zich staande daarboven.;‘Zik’ ston derop.
De volgende dag had Jeertje de boudel onderling gezocht en was hij weggegaan.;Aanderdoags haar Geertje boudel bienander zöcht en was votgoan.
Abel had onze Zik Groeten verfd.;Oabel haar onner ‘Zik’ Greetje vaarfd.
En daar waren ze met een tweetje.;En dou waren ze mit n baaiden.
Abel's Greeting 13 was een echte rasbok voor het dekken van alle andere sikken.;Oabel zien ‘Greetje’ 13 was n echte rasbok veur t dekken van aal aander sikken.
En dat wisten alle bewoners ervan.;En dat wizzen aal sikken dij der woonden.
Ovel met Greetje in zijn fietskaar in de kontraainen was wegens ongeluk, heilen ze op met eten.;Oabel mit ‘Greetje’ ien zien fietskaar ien kontraainen onnerwegens was, hailen ze op mit vreten.
Dan staken ze hun hoofd omhoog en doodden wegens de ouderdom van dat kleine gladde zwarte knokjes.;Din staken ze kop omhoog en keudelden aalderwegens van dij leutje gladde swaarte knikkers.
En Greetings laat zich overal horen met zijn blare en gebel.;En ‘Greetje’ luit zok overaal heuren mit zien geblèr en gebèlk.
En toen schopte Bienoa de fiets uit elkaar.;En intied schopte bienoa fietskaar oetnkander.
Toen ze zo rookten, zag het hele dorp als ze weer eens langs kwamen.;Onnuur zoas dij ja roeken, zee t haile dörp as baaide der weer ains laangs kwammen.
Voak mos Oabel even bij kroeg aan voor een kwart jannevier en een pond proembak.;Voak mos Oabel even bie kroug aan veur n kaan jannever en n pond proemtebak.
Abel mocht graag proeven en dat kon iedereen zien.;Oabel mog groag proemken en dat kon elk zain.
Hij had een bruine klomp daar hij altijd over had gekwetst en een maauw van de jas was bruin.;Hai haar ain broene klomp doar e aalgedureg overhìn kwittjede en ain maauw van jeske was broen.
Daar veegde hij zijn snoep mee af.;Doar veegde hai hom snoet mit of.
In de kroeg hadden ze Oabel allemaal eens en voor al een paar keer wat drankjes aangeboden en hem aan het praten gehouden.;Ien kroug haren ze Oabel aal ains n moal wat klókjes aanboden en hom aan proat holden.
Groeten stonden geïntimideerd buiten van de fietscar om strooierij te verslinden.;‘Greetje’ ston intied boeten vanoet fietskaar stroekerij te vervreten.
Het ging heel goed en Hallo moest er ook maar één bijgehouden worden.;t Ging aibels mooi en ‘Greetje’ mos der ook mor ains biehoald worren.
De krokodil keek wat licht toen hij binnenkwam.;Krougholder keek wat zuneg dou dij der ien kwam.
Hij nam een raam en stond bovenop de stamtafel omdat de bloemen hem lekker leken.;Hai nam vot n roam en ston boven op stamtoavel omreden bloumkes hom lekker tou leken.
De toon van de krokodil begon te gillen en de balken begon Greetje van schrik te lekken en te vertellen waar hij heen kon.;Toun krougholder begon te gilpen en bèlken ging ‘Greetje’ van schrik lekken en keudelde woar e mor kon.
Sprong van de stamtafel en het duurde even voor ze hem bij de hoorn haarde.;Sprong van stamtoavel en t duurde even veur ze hom bie hoorns haren.
De tijd lekte overal en verspreid roem ging erom heen.;Intied lekde overaal en streude roem keudels ien t rond.
Het was de komende weken zeer rustig in het krog.;t Was eerstkommende weken orreg rusteg ien kroug.
Een lucht om te snijden.;n Lucht om te snieden.
De jongens wilden het niet ver van Oabels huiske maar één proberen.;Jonges wollen t nait wied van Oabels hoeske mor ains perbaaiern.
Ze hadden it wiet wiet weg deden wel de eerste mog.;Ze haren ‘iet wiet waait weg’ doan wel eerste mog.
Snöt won.;‘Snöt’ won.
Piet dacht dat hij eerst maar moest gaan bij de dame beginnen want in het water stond een berg roeg en groen.;Piet docht dat e eerst mor stoef bie daam begunnen mós woar ien t wodder n baarg roegte en gruin zat.
Een echte woonplaats voor een dikke snoek.;n Echt woonstee veur n dikke snouk.
Snöt met de tong een eindje in de mond uit liet het blinkertje in het water zakken.;‘Snöt’ mit tong n éndje tou mond oet lait t blinkertje ien t wodder zakken.
De jongens zagen hoe het blinkertje blinkt en brult als een zieke visje in het heldere water.;Jonges zagen hou t blinkertje blonk en dwarrelde as n zaik viske ien t heldere wodder.
Toen Snöt vissen over de vijver kreeg iedereen een schrik.;Dou ‘Snöt’ hengel over dampoal dee kreeg elk n schrik.
Gode goden braalde Haas.;“Gwode goden” brulde ‘Hoas’.
De zee kookte en spuugde uit elkaar, grote golven en er kwam broes op het water.;t Moar kolkte en spatte oetnander, grode golven en der kwam broes op t wodder.
Het ging er heer uit.;t Ging der heer.
Help me toch? scheldde Snöt die hangel nog net vast kon houden.;“Help mie toch” gilpte ‘Snöt’ dij hangel nog net vastholden kon.
Bert pakte hem weer ook mee vast en anderen deden verbeeldingrijk een stap achteruit.;Bert pakte hom vot ook mit vast en aandern deden verbilderd n stap achteroet.
Het modder kookte en broosde.;t Wodder kolkte en broesde.
het bleek rennen van de jongens anders grijpt ie de dame mee.;bèlkte “runnen jonges aans gript e joe dammee”.
Bert en Snöt lopen hard achteruit met een hanger die op de knopen staat.;Bert en ‘Snöt” laipen haard achteroet mit n hangel dij op knappen ston.
En toen was het in de eentje gedonken en lag er een dikke snoeke laanket in het groenland.;En toun was t ien ainen doan en lag doar n dikke snouk laankoet ien t gruinlaand.
Om bang te zijn om te weden.;Om baang van te weden.
De jongens waren er glad van stil.;Jonges waren der glad stil van.
Zou hij dwood wezen? was het eerste wat Haas moest zeggen.;“Zwol e dwood weden?” was ’t eerste wat ‘Hoas’ zeggen duurde.
"De jongen zei Piet, ""hij doet niets meer, hij ligt onder de voeten.""";“Jonges” zee Piet, “dij dut niks meer hai ligt stiefoet”.
Piet was niet bang voor een dode snoek.;Piet was nait baang veur n dooie snouk.
Tikte hem een maal of zo aan, pakte het touw vlak bij de snookbak en haalde het blinkje er even uit.;Tikte hom n moal of wat aan, pakte t snoer vlak bie snoukebek en zol t blinkertje der even oet hoalen.
Schon wou het niet hebben gezien ze en greep onverwacht Piet bij de hand.;Snouk wol t nait hemmen zagen ze en greep onverdachts Piet bie haand.
Hij sprong hoes hoog, gilde en gebrulde of ze hem zouden vallen.;Dij sprong hoezenhoog, gilpte en brulde of ze hom villen wollen.
Tranen bedwelmden hem over de wangen.;Troanen biggelden hom over waangen.
De jongens zagen dat Oabel Sik er op een ontwerp aan kwam.;Jonges zagen dat Oabel ‘Sik’ der op n draf aan kwam.
Piet jausterde en roepende heel erg tegen elkaar.;Piet jausterde en brulde hail wereld bienander.
Abel greep uit zijn buismes en sneed een klein stukje onze kop door midden.;Oabel greep vot zien buusmès en snee snouk n éndje onner kop deurmidden.
Piet stond er erg bij te snoepen met een dik snoepkop aan de hand die hem regelmatig aankijkte.;Piet ston der aibels bie te snokken mit n dikke snoukekop aan haand dij hom orreg maal aankeek.
Zitten laten, met de andere hand vasthouden en meteen met elkaar naar de dokter, zei Oabel.;“Zitten loaten, mit aander haand vasthollen en votdoadelk mitnander noar dokter”, zee Oabel.
Jouw hangstok neem ik wel op.;“Joen hangelstok baarg ik wel op”.
Daar ging het, op een druppel.;Doar ging t hìn, op n draf.
Piet huilde huilend tussen de jongens in.;Piet haard grienend tussen jonges ien.
Bert zou in het dorp weg zijn om zijn Moeder te waarschuwen.;Bert zol ien t dörp vot Piet zien Moeke woarschaauwen.
De dokter, die buiten stond met een koffer, toen hij net op de website bij een zieke was, keek vreemd op.;Dokter, dij boeten ston mit n kovvertje, din hai zol net op vesiede bie n zaike, keek roar op.
Zo'n patiënt had hij nog nooit gehad.;Zo’n patient haar e nog noeit had.
Het hele dorp was onbezorgd met fietsen of met rondjes.;t Haalve dörp was onnertuzzen mitfietst of mitrund.
Piet moet toch maar met je meegaan.;Piet mos vot mor mit noar binnen.
Toen hij een stijve keitaaier later kwam naar buiten met zijn armen in de douche en zere lampen om zijn hand stond er een barbaar volk.;Toun e n stief ketaaier loater boetenkwam mit aarm ien douk en zere lappen om haand ston der n baarg volk.
Was zelf een van de bokse blad met een fototoestel.;Was zulfs ain van t bokkeblad mit n fototoustel.
Hij wou van Piet weten wat er wel of niet gebeurd was.;Hai wol van Piet waiten wat of der wel nait gebeurd was.
Piet onthult wat hij van alle schrik die met nog natte ogen gezien heeft verhaalt.;Piet onnertuzzen wat bekommen van aal schrik dee mit nog nadde ogen zien verhoal.
Moeder kwam hem op de fiets ophalen.;Moeke kwam hom op fiets ophoalen.
Jongens zouden eerst maar naar huis gaan.;Jonges zollen eerst mor noar hoes goan.
De volgende dag op school was Piet de held.;Aanderdoags op schoul was Piet de held.
De snoek werd steeds langer en was aan het einde van de dag meer dan een meter.;Snouk wer aal laanger en was aan t ènde van dag meer as n meter.
Toen ze de school uit liep zei Piet dat het niet goed was, wat ze gisteren hadden gedaan.;Dou ze tou schoul oet laipen zee Piet dat t nait goud was, wat ze guster doan haren.
Onze;“Onze
De heren had hem toch even laten weten dat hij en de jongens ook niet bij het strand konden komen.;Laimeneer haar hom toch even waiten loaten dat hai en jonges ook nait bie t moar kommen moggen”.
De jongens hadden geen straf van hun ouders gekregen.;Jonges haren gain straf kregen van ollu.
Zouden door het avontuur eerst wel genoeg 14 schrikken in bed hebben.;Zollen deur t oaventuur eerst wel genog 14 schrik ien bainen hemmen.
De volgende dag stond er een grote petret met Piet aan de voorkant van het bokblad.;Aanderdoags ston n grode petret mit Piet op veurkaant van t bokkeblad.
Der kerel met dikke zwarte letters, Jongens tijdens het spelen aangevallen door reuzensneuk .;Der onner mit dikke swaarte letters,’ Jongen tijdens spelen aangevallen door reuzensnoek ’.
Abel had een lekker visje bij het eten en dacht dat hij de hangstok nog maar even moest proberen.;Oabel haar n lekker viske had bie t eten en docht dat e hangelstok nog mor ains perbaaiern mós.
De domme koelde;Domme kou n
De glorieuze zon verschijnt aan de kim;Glènrooie zunne verschient aan de kim
Verspreidt langzaam zijn licht over het eiland;Verspraait langzoam zien licht over t waailand
Waar in de dunne opstijgende dook een;Woar in dunne opstiegende dook n
Een paar koeien herhaaldelijk ligt in het zand;Koppel koien herkaauwend ligt in t zaand t
Is ja een heel mooi gezicht;Is ja n aibels mooi gezicht
Zoas die deur van iemand anders ligt en loopt;Zoas dat deur n ander ligt en lopt
Kleur en ras maakt dat toch niet uit;Kleur en ras dat moakt ja nait oet
Roodbonne koude of grondigere bloekkop;Roodbonte kou of grunneger bloarkop
Zij eten allemaal zulfde groene gras;Zai eten aalmoal tzulfde gruine gras
En geef iedereen dezelfde witte melk;En geven aalmoal zulfde widde melk
Er is in dat paar naaste de boas;Der is in dat koppel genaine de boas
Ze zijn allemaal gelijk en dat geldt voor iedereen;Ze binnen aal geliek en dat geldt veur elk
Ze krijgen geen ruzie om het geloof;Zai kriegen gain roezie om t geleuf
Van liegen en stelen hebben ze geen probleem;Van laigen en stelen hebben zai gain hinder
En zij hebben ook geen last van drugs;En zai hebben ook gain last van drugs
Ze zijn lief en goed voor hun kinderen;Ze binnen laif en goud veur heur kinder
Was dat in de meesterdom nu ook maar anders zo;Was dat in t mìnsdom nou ook mor ais zo
En gaven we ons fouten nu maar toe;En gaven wie ons fouten nou mor tou
Daar kon je in de wereld veel beter zijn;Dìn kon je in de wereld veul beter wezen
Wie is nou dommer wie of wie is dat?;Wel is nou dommer wie of dai kou?
Cor Uildriks;Cor Uildriks
15 Ik lig Ik lig met jou in het baldonker en hoor je zachte stem.;15 Ik lig Ik lig mit die in t baalkduuster en heur dien zaachte stem.
Het is enkel maar fluisterend dat ik nauwelijks kan horen.;t Is enkeld mor gefluuster dat ik amper heuren kìn.
Maar ik pak je vast en ik luister met mijn armen om je heen.;Mor k hol die vast en ik luuster mit mien aarms um die hèn.
Jan Hoiting Mijn Groningsland.;Jan Hoiting Mien Grunneger laand.
Mijn land, ik mag je zo graag leiden, met wijd verten, een landschap met verzonnen.;Mien laand, ik mag die zo geern lieden, mit wiede verten, n landschop mit verzin.
Dat geeft me moeite, zodat ik kan leven.;Dat geft mie oam, zodat ik leven kin.
Lopen of met de fiets kan ik daar verbleven.;Lopend of mit fiets kin ik mie din verblieden.
Rust en roemte zijn hier nog voor handen, alles komt terdege meer nieuw toe.;Rust en roemte binnen hier nog veur handen, aal komt ter aal meer nijbaauw bie.
een doelwagentje is het voor mij Gainain krijgt de kans dat uit mijn hart brandt.;n doalders plekje is t veur mie Gainain krigt kaans dat oet mien haart te branden.
Dit land, het uitdaagt mij aan alle kanten om te beschrijven, hoe goed het mij voldoet.;Dit laand, t doagt mie oet aan ale kanten om te beschrieven, hou goud of t mie voldut.
Het leven en werken, dat is voor mij nuttig, mijn land, met al zijn gouden randen.;t Wonen en waarken, dat het veur mie zien nut, mien laand, mit aal zien golden randen.
De juiste woorden vinden, dat valt niet in, ik heb het geprobeerd, ik hoop dat u het begrijpt.;De rechte woorden vienden, dat vaalt nait tou, k heb t perbaaierd, k hoop dat joe t verstoan.
Gronden is mijn stad, daar wil ik graag blijven, dat geeft me vrijheid en het geeft me moed voor nu.;Grunnen is mien stee, doar wil k geern bestoan, dat geft mie vree en t geft mie moud veur nou.
Benzin of water?;Benzine of woater??
Als ik niet meer werk, heb ik het nog drukker dan toen ik me nog in zweet gejuig.;Sunt k nait meer waark, heb k t nog drokker as dou k mie nog in zwait juig.
Maar dat beveelt me een beetje.;Doch scheelt mie dat n bult in knippe.
Vooral wanneer ik met de auto bij de pomp sta, vliegen de liter erin en de euro's eruit.;Veuraal as k mit auto bie pomp stoa, vlaigen liters der in en euro’s deroet.
Pottenbloem is gemaakt van siepeller.;Potterfulie is moakt van siepelleer.
Tranen migleren me over de wangen als ik ernaar kijk.;Troanen miggeln mie over waangen as k er in kiek.
Man man wat een botsing.;Man man wat n boudel.
Een mens duurt even het levenje niet meer te broeken en uiteindelijk is er nog lang niet meer hij.;n Mèns duurt sikkom t woagentje nait meer broeken en t ende is der nog laank nait heer.
Loep het bedrijf maar op het water, dat kost nog bijna niets, tot onze;Luip t fermikkie mor op wotter, dat kost nog sikkom niks, tot onze
Hebben er ook een melkkooi in de zuik gezeten....;Overhaid der ok n melkkou in zugt....
Hadden ze Johannes Wardenier uit Meppelt maar geworden laten.;Haren ze Johannes Wardenier oet Meppelt mor geworren loaten.
Ontwikkelaar van de benzinevrij motor.;Oetvinder van benzineloze motor.
Dat was mij wat!;Dat was mie wat!
De auto's op het water!;Auto ’s op wotter!
Wat zouden we die tegenwoordig goed broeken kunnen aantrekken?;Wat zollen wie dij tegenswoordeg goud broeken kinnen.
Diesel, gas, aardgas, konden we daar laten staan, maar het Grootkapitaal vond het toen niet goed.;Diezel, gas, eerdgas, konden we din stoan loaten, mor t Grootkaptoal von t doudestieds nait goud.
De fabriek in Wolvega is er nooit gekomen.;Febriek in Wolvega is der nooit komen.
De aandeelhouders in het eulieboudel hadden Jan met Pet dat voordeel blijkbaar niet.;Aandailholders in eulieboudel gunden ‘Jan mit Pet’ dat veurdail bliekboar nait.
Oké, de regering wist wel wat er aan de hand was.;Ok Regeren wis der wel road mit.
Vraag er het liefst nog een paar stuiver bij.;Vragt er t laifst nog poar stuver bie.
Zouden we maar een windmolen op het dak van auto's kunnen fabrieken.;Konden we mor n windmeulen op dak van auto febrieken.
De kerel nog aan, dat zou ja wat zijn....;Kerel nog aan tou, dat zol ja wat wezen....
Regeren vindt vervast goed.;Regeren vindt vervast goud.
"Zet immers overal zulke ""verduidelijke"" onderdelen.";Zet ja overaal zokse ‘vervoelers’ dele.
Of ze moeten die oude uitvinding weer van lang halen.;Of ze mouten dij olde oetvinden weer van ‘staal’ hoalen.
Doen daar een hele helpt mensen plezier mee.;Doun doar n haile bult lu plezaaier mit.
Kos maar een bedje, maar dan heb je wel wat!;Kost mor n bedie, mor din heb je wel wat!
Ik ben benieuwd waar het uitgaat, maar ik heb er niet veel geloofwaardigheid in.;k Bin benijd, woar t op oetdraait, mor k heb er nait veul ferduutsie in.
30 juni 2008 Rol van de Knaal Siebrich Huizinga.;30 juni 2008 Roel van t Knoal Siebrich Huizinga.
Vuur Zijn oude Daf was schoon op.;Vuurtje Zien olle Daf was schoon op.
Ze hadden haar hum in de garage dudelk gemaakt, dat hij het maar moest vergeten.;Ze harren hum in de garage dudelk moakt, dat e t mor vergeten mös.
Er meek te veel aan.;Der mekaaierde te veul aan.
Toch reed hij er nog bijna dagelijks mee door het dorp en af en toe nog naar Knaal.;Toch ree e der nog hoast doaglieks mit deur t dörp en of en tou nog noar Knoal.
Naar de kinderen.;Noar de kinder.
We waren niet.;Wieder nait.
Eerst wilde hij geen nieuwe auto meer kopen.;Aiglieks wol e zuch gain nije auto meer kopen.
Albert leefde al tegen de tachtig.;Albert luip al tegen de tachteg.
Nog goed verleden hoor, daar niet van.;Nog goud vereg hor, doar nait van.
En zijn vrouw Gitje ook, maar die was dan ook een paar jaar jonger.;En zien vraauw Gitje ook, mor dai was dan ook n poar joar jonger.
Maar ja, geen auto?;Mor ja, gain auto?
Dat was toch niks.;Dat was ja niks.
